runNumber,MBD_NandS_geq_1,Jet_6_GeV_plus_MBD_NS_geq_1,Jet_8_GeV_plus_MBD_NS_geq_1,Jet_10_GeV_plus_MBD_NS_geq_1,Jet_12_GeV_plus_MBD_NS_geq_1,Photon_2_GeV_plus_MBD_NS_geq_1,Photon_3_GeV_plus_MBD_NS_geq_1,Photon_4_GeV_plus_MBD_NS_geq_1,Photon_5_GeV_plus_MBD_NS_geq_1
48369,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48398,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48409,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48410,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48412,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48416,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48417,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48418,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48421,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48423,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48455,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48456,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48461,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48462,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48469,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48471,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48510,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48511,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48512,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48513,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48514,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48516,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48518,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48519,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48520,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48521,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48522,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48529,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48530,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48531,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48532,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48533,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48635,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48636,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48645,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48656,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48657,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48658,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48660,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48701,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48720,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48721,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48722,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48725,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48726,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48727,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48731,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48732,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48734,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48742,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48743,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48745,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48746,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48801,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48803,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
